"Deferred Expense","المصاريف الآجلة"
"Deferred Revenue","الأرباح الآجلة"
"Exchange Gain Or Loss","فرق العملة"
"Exchange Rate Revaluation","إعادة تقييم العملة"
"Depreciation Entry","الإستهلاك"
"Opening Entry","افتتاحي"
"Write Off Entry","الشطب - إلغاء الديون"
"Excise Entry","الضريبة الخاصة"
"Contra Entry","عكسي (تحويل بين النقد والبنك)"
"Credit Note","إشعار دائن"
"Debit Note","إشعار مدين"
"Credit Card Entry","حركة بطاقة ائتمان"
"Cash Entry","حركة نقدية"
"Bank Entry","حركة بنكية"
"Inter Company Journal Entry","قيد يومية بين الشركات الشقيقة"
"General Ledger","كشف حساب"
"Accounts Payable Summary","ملخص الحسابات الدائنة"
"Currency Exchange Rate","معامل تحويل العملة"
"Special Terms","الشروط الخاصة"
"Special Terms and Conditions","الشروط و الأحكام الخاصة"
"Special Terms & Conditions","الشروط و الأحكام الخاصة"
"General Terms and Conditions","الشروط و الأحكام العامة"
"General Terms","الشروط العامة"
"General Terms & Conditions","الشروط والأحكام العامة"
"Blanket Order","Supplier Agreement"
"Update Items","تعديل قائمة الأصناف"
"Get Penalties","جلب الغرامات"
"Fetch items based on Default Supplier.","جلب الأصناف بناء على المورد الإفتراضي"
"Public","عام"
"Show Dimension Wise Stock","عرض الأبعاد حسب المخزون"
"Include Zero Stock Items","يشمل أرصدة المخزون الصفرية"
"Ignore Closing Balance","تجاهل رصيد الإغلاق"
"Show Stock Ageing Data","عرض بيانات أعمار المخزون"
"Buying Price Basis","إعتماداً على سعر الشراء"
"Selling Price Basis","إعتماداً على سعر البيع"
"Variable Value","قيمة متغيرة"
"Fixed Value","قيمة ثابتة"
"Pricing Type","نوع التسعير"
"Collapse All","طي الكل"
"Tree View","شجرة"
"MCE System","نظام المؤسسة"
"Markup Percentage","هامش الربح"
"Purchase Price","سعر الشراء"
"Special Terms","الشروط الخاصة"
"General Terms","الشروط العامة"
"Blanket Order","Supplier Agreement"
"Auto Repeat","التكرار التلقائي"
"Department","القسم"
"DocType","نوع المستند"
"Installation Note","إشعار التركيب"
"Payment Entry","سندات قبض / صرف"
"Source Text","النص المصدر"
"Mention if non-standard payable account","حدد حسابات الذمم إذا لم يتم تحديد حساب رئيسي للذمم"
"Expand","توسعة"
"Reports & Masters","الشاشات و التقارير"
"Account","الحساب"
"Accounting Dimension","البُعد المحاسبي"
"Activity Type","نوع النشاط"
"Address","العنوان"
"Asset","الأصل"
"Asset Category","فئة الأصل"
"Asset Maintenance","صيانة الأصل"
"Asset Repair","إصلاح الأصل"
"Assignment Rule","قاعدة الإسناد"
"Bank","البنك"
"Bank Account","الحساب البنكي"
"Blanket Order","إتفاقية مورد"
"Blog Category","فئة المدونة"
"Blogger","المدوِّن"
"BOM","قائمة المواد"
"BOM Creator","منشئ قائمة المواد"
"Branch","الفرع"
"Brand","العلامة التجارية"
"Campaign","الحملة"
"Client Script","سكريبت العميل"
"Code List","قائمة الرموز"
"Color","اللون"
"Comment","تعليق"
"Common Code","الرمز المشترك"
"Communication","التواصل"
"Company","الشركة"
"Competitor","المنافس"
"Connected App","التطبيق المتصل"
"Contact","جهة الاتصال"
"Contract Template","قالب العقد"
"Cost Center","مركز التكلفة"
"Country","الدولة"
"Coupon Code","رمز القسيمة"
"Currency","العملة"
"Currency Exchange Settings","إعدادات صرف العملات"
"Customer Group","مجموعة العملاء"
"Customs Tariff Number","رقم بند التعريفة الجمركية"
"Dashboard","لوحة المعلومات"
"Data Import","استيراد البيانات"
"Delivery Note","إذن التسليم"
"Designation","المسمى الوظيفي"
"Document Follow","متابعة المستند"
"Domain","المجال"
"Driver","السائق"
"Dunning Type","نوع المطالبة"
"Email Account","حساب البريد الإلكتروني"
"Email Group","مجموعة بريدية"
"Email Template","قالب البريد الإلكتروني"
"Employee Group","مجموعة الموظفين"
"Error Log","سجل الأخطاء"
"Event","حدث"
"Finance Book","دفتر الأستاذ المالي"
"Fiscal Year","السنة المالية"
"Form Tour","جولة النموذج"
"Gender","الجنس"
"Google Calendar","تقويم جوجل"
"Google Contacts","جهات اتصال جوجل"
"Google Drive","جوجل درايف"
"Help Article","مقالة المساعدة"
"Holiday List","قائمة العطلات"
"Homepage Section","قسم الصفحة الرئيسية"
"Incoterm","شروط التجارة الدولية (Incoterm)"
"Installed Applications","التطبيقات المثبتة"
"Issue","مشكلة"
"Issue Type","نوع المشكلة"
"Item","الصنف"
"Item Attribute","سمة الصنف"
"Item Group","مجموعة الأصناف"
"Item Tax Template","قالب ضريبة الصنف"
"Job Card","بطاقة العمل"
"Journal Entry","قيد يومية"
"Kanban Board","لوحة كانبان"
"Language","اللغة"
"Lead","عميل محتمل"
"Letter Head","ترويسة الخطاب"
"Location","الموقع"
"Loyalty Program","برنامج الولاء"
"Maintenance Schedule","جدول الصيانة"
"Manufacturer","المصنِّع"
"Market Segment","الشريحة السوقية"
"Material Request","طلب مواد"
"Milestone Tracker","متتبع المعالم الرئيسية"
"Mode of Payment","طريقة السداد"
"Module Profile","ملف تعريف الوحدة"
"Monthly Distribution","التوزيع الشهري"
"Note","ملاحظة"
"Notification","إشعار"
"Operation","العملية"
"Opportunity","فرصة بيعية"
"Opportunity Lost Reason","سبب خسارة الفرصة البيعية"
